RowID	TableID	RhymeSegment	page	row_in_source	raw_text	rhyme_raw	OC_RhymeGroup	tones_raw	rhyme_tokens	tone_tokens	rhyme_numbers	source	alignment_issue	notes	image_refs
ROW_P176_T001_p176_r0010	P176_T001	49	176	9	徹、伐、逆 月、鐸部 入—入—入 《稷辰》	徹、伐、逆	月、鐸部	入—入—入	徹 | 伐 | 逆	入 | 入 | 入		《稷辰》		"{""cells"": [""49"", ""徹、伐、逆"", ""月、鐸部"", ""入—入—入"", ""《稷辰》""], ""cells_with_img_placeholders"": [""49"", ""徹、伐、逆"", ""月、鐸部"", ""入—入—入"", ""《稷辰》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": true}"	IMG_p176_001
ROW_P176_T001_p176_r0011	P176_T001	50	176	10	結、入 質、緝部 入—入		質、緝部	結、入 入—入		結 | 入 | 入 | 入		《稷辰》		"{""cells"": [""50"", ""結、入"", ""質、緝部"", ""入—入"", """"], ""cells_with_img_placeholders"": [""50"", ""結、入"", ""質、緝部"", ""入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [], ""has_images"": true}"	IMG_p176_001
ROW_P177_T001_p177_r0002	P177_T001	7	177	2	復、得 覺、職部 入—入 《自天降令》	復、得	覺、職部	入—入	復 | 得	入 | 入		《自天降令》		"{""cells"": [""7"", ""復、得"", ""覺、職部"", ""入—入"", ""《自天降令》""], ""cells_with_img_placeholders"": [""7"", ""復、得"", ""覺、職部"", ""入—入"", ""《自天降令》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0003	P177_T001	18	177	3	族、促、嗀、辱 屋部 入—入—入—入	族、促、嗀、辱	屋部	入—入—入—入	族 | 促 | 嗀 | 辱	入 | 入 | 入 | 入		《自天降令》		"{""cells"": [""18"", ""族、促、嗀、辱"", ""屋部"", ""入—入—入—入"", """"], ""cells_with_img_placeholders"": [""18"", ""族、促、嗀、辱"", ""屋部"", ""入—入—入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0004	P177_T001	21	177	4	澤、惡、宅、若 鐸部 入—入—入—入 《貞在黃鐘》	澤、惡、宅、若	鐸部	入—入—入—入	澤 | 惡 | 宅 | 若	入 | 入 | 入 | 入		《貞在黃鐘》		"{""cells"": [""21"", ""澤、惡、宅、若"", ""鐸部"", ""入—入—入—入"", ""《貞在黃鐘》""], ""cells_with_img_placeholders"": [""21"", ""澤、惡、宅、若"", ""鐸部"", ""入—入—入—入"", ""《貞在黃鐘》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0005	P177_T001	23	177	5	則、德、則、德、 嗇、德、或 職部 入—入—入— 入—入—入—入	"則、德、則、德、
嗇、德、或"	職部	"入—入—入—
入—入—入—入"	則 | 德 | 則 | 德 | 嗇 | 德 | 或	入 | 入 | 入 | 入 | 入 | 入 | 入		《貞在黃鐘》		"{""cells"": [""23"", ""則、德、則、德、\n嗇、德、或"", ""職部"", ""入—入—入—\n入—入—入—入"", """"], ""cells_with_img_placeholders"": [""23"", ""則、德、則、德、\n嗇、德、或"", ""職部"", ""入—入—入—\n入—入—入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], [], [], [], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0006	P177_T001	25	177	6	射、略 鐸部 入—入	射、略	鐸部	入—入	射 | 略	入 | 入		《貞在黃鐘》		"{""cells"": [""25"", ""射、略"", ""鐸部"", ""入—入"", """"], ""cells_with_img_placeholders"": [""25"", ""射、略"", ""鐸部"", ""入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0008	P177_T001	2	177	8	德、貣、極 之部 入—入—入 《政事之常》	德、貣、極	之部	入—入—入	德 | 貣 | 極	入 | 入 | 入		《政事之常》		"{""cells"": [""2"", ""德、貣、極"", ""之部"", ""入—入—入"", ""《政事之常》""], ""cells_with_img_placeholders"": [""2"", ""德、貣、極"", ""之部"", ""入—入—入"", ""《政事之常》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0010	P177_T001	4	177	10	疾、 質部 入—入 《病心者》	疾、	質部	入—入	疾	入 | 入		《病心者》	1	"{""cells"": [""4"", ""疾、"", ""質部"", ""入—入"", ""《病心者》""], ""cells_with_img_placeholders"": [""4"", ""疾、"", ""質部"", ""入—入"", ""《病心者》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[]], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0011	P177_T001	7	177	11	邑、食 緝、職部 入—入 《先農》	邑、食	緝、職部	入—入	邑 | 食	入 | 入		《先農》		"{""cells"": [""7"", ""邑、食"", ""緝、職部"", ""入—入"", ""《先農》""], ""cells_with_img_placeholders"": [""7"", ""邑、食"", ""緝、職部"", ""入—入"", ""《先農》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0013	P177_T001	7	177	13	樂、毒 藥、覺部 入—入 《爲吏治官及黔 首》	樂、毒	藥、覺部	入—入	樂 | 毒	入 | 入		"《爲吏治官及黔
首》"		"{""cells"": [""7"", ""樂、毒"", ""藥、覺部"", ""入—入"", ""《爲吏治官及黔\n首》""], ""cells_with_img_placeholders"": [""7"", ""樂、毒"", ""藥、覺部"", ""入—入"", ""《爲吏治官及黔\n首》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0015	P177_T001	4	177	15	發、勶、月 月部 入—入—入 《魯九次問數於 陳起》	發、勶、月	月部	入—入—入	發 | 勶 | 月	入 | 入 | 入		"《魯九次問數於
陳起》"		"{""cells"": [""4"", ""發、勶、月"", ""月部"", ""入—入—入"", ""《魯九次問數於\n陳起》""], ""cells_with_img_placeholders"": [""4"", ""發、勶、月"", ""月部"", ""入—入—入"", ""《魯九次問數於\n陳起》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0016	P177_T001	8	177	16	實、室、疾、室 質部 入—入—入—入 《醫方雜抄》	實、室、疾、室	質部	入—入—入—入	實 | 室 | 疾 | 室	入 | 入 | 入 | 入		《醫方雜抄》		"{""cells"": [""8"", ""實、室、疾、室"", ""質部"", ""入—入—入—入"", ""《醫方雜抄》""], ""cells_with_img_placeholders"": [""8"", ""實、室、疾、室"", ""質部"", ""入—入—入—入"", ""《醫方雜抄》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0017	P177_T001	20	177	17	色、國 職部 入—入 《禹九策》	色、國	職部	入—入	色 | 國	入 | 入		《禹九策》		"{""cells"": [""20"", ""色、國"", ""職部"", ""入—入"", ""《禹九策》""], ""cells_with_img_placeholders"": [""20"", ""色、國"", ""職部"", ""入—入"", ""《禹九策》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0018	P177_T001	24	177	18	曲、哭 屋部 入—入	曲、哭	屋部	入—入	曲 | 哭	入 | 入		《禹九策》		"{""cells"": [""24"", ""曲、哭"", ""屋部"", ""入—入"", """"], ""cells_with_img_placeholders"": [""24"", ""曲、哭"", ""屋部"", ""入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0019	P177_T001	25	177	19	、狄 脂、錫部 入—入	、狄	脂、錫部	入—入	狄	入 | 入		《禹九策》	1	"{""cells"": [""25"", ""、狄"", ""脂、錫部"", ""入—入"", """"], ""cells_with_img_placeholders"": [""25"", ""、狄"", ""脂、錫部"", ""入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[]], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0020	P177_T001	27	177	20	栗、實、室 質部 入—入—入	栗、實、室	質部	入—入—入	栗 | 實 | 室	入 | 入 | 入		《禹九策》		"{""cells"": [""27"", ""栗、實、室"", ""質部"", ""入—入—入"", """"], ""cells_with_img_placeholders"": [""27"", ""栗、實、室"", ""質部"", ""入—入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0021	P177_T001	33	177	21	宿、復 覺部 入—入	宿、復	覺部	入—入	宿 | 復	入 | 入		《禹九策》		"{""cells"": [""33"", ""宿、復"", ""覺部"", ""入—入"", """"], ""cells_with_img_placeholders"": [""33"", ""宿、復"", ""覺部"", ""入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0022	P177_T001	38	177	22	國、色 職、之部 入—入	國、色	職、之部	入—入	國 | 色	入 | 入		《禹九策》		"{""cells"": [""38"", ""國、色"", ""職、之部"", ""入—入"", """"], ""cells_with_img_placeholders"": [""38"", ""國、色"", ""職、之部"", ""入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0023	P177_T001	42	177	23	頡、 （䁇）、吉 質部 入—入—入	頡、 （䁇）、吉	質部	入—入—入	頡 | （䁇） | 吉	入 | 入 | 入		《禹九策》		"{""cells"": [""42"", ""頡、 （䁇）、吉"", ""質部"", ""入—入—入"", """"], ""cells_with_img_placeholders"": [""42"", ""頡、 （䁇）、吉"", ""質部"", ""入—入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0024	P177_T001	54	177	24	稷、翼 職部 入—入 《祓除》	稷、翼	職部	入—入	稷 | 翼	入 | 入		《祓除》		"{""cells"": [""54"", ""稷、翼"", ""職部"", ""入—入"", ""《祓除》""], ""cells_with_img_placeholders"": [""54"", ""稷、翼"", ""職部"", ""入—入"", ""《祓除》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0025	P177_T001	71	177	25	弗、立 物、緝部 入—入 《雜祝方》	弗、立	物、緝部	入—入	弗 | 立	入 | 入		《雜祝方》		"{""cells"": [""71"", ""弗、立"", ""物、緝部"", ""入—入"", ""《雜祝方》""], ""cells_with_img_placeholders"": [""71"", ""弗、立"", ""物、緝部"", ""入—入"", ""《雜祝方》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0026	P177_T001	75	177	26	尺、白、駱、 、 客、博 鐸部 入—入—入— 入—入—入 《隱書》	"尺、白、駱、 、
客、博"	鐸部	"入—入—入—
入—入—入"	尺 | 白 | 駱 | 客 | 博	入 | 入 | 入 | 入 | 入 | 入		《隱書》	1	"{""cells"": [""75"", ""尺、白、駱、 、\n客、博"", ""鐸部"", ""入—入—入—\n入—入—入"", ""《隱書》""], ""cells_with_img_placeholders"": [""75"", ""尺、白、駱、 、\n客、博"", ""鐸部"", ""入—入—入—\n入—入—入"", ""《隱書》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], [], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P177_T001_p177_r0027	P177_T001	76	177	27	色、賊 職部 入—入	色、賊	職部	入—入	色 | 賊	入 | 入		《隱書》		"{""cells"": [""76"", ""色、賊"", ""職部"", ""入—入"", """"], ""cells_with_img_placeholders"": [""76"", ""色、賊"", ""職部"", ""入—入"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p177_001,IMG_p177_002,IMG_p177_003,IMG_p177_004
ROW_P178_T001_p178_r0003	P178_T001	12	178	2	敖、鼂、取、僂、 府 宵、侯部 平—平—上— 上—上 《爲吏之道》	"敖、鼂、取、僂、
府"	宵、侯部	"平—平—上—
上—上"	敖 | 鼂 | 取 | 僂 | 府	平 | 平 | 上 | 上 | 上		《爲吏之道》		"{""cells"": [""12"", ""敖、鼂、取、僂、\n府"", ""宵、侯部"", ""平—平—上—\n上—上"", ""《爲吏之道》""], ""cells_with_img_placeholders"": [""12"", ""敖、鼂、取、僂、\n府"", ""宵、侯部"", ""平—平—上—\n上—上"", ""《爲吏之道》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], [], []], ""has_images"": true}"	IMG_p178_001,IMG_p178_002,IMG_p178_003
ROW_P178_T001_p178_r0004	P178_T001	36	178	3	關、璽 元、脂部 平—上	關、璽	元、脂部	平—上	關 | 璽	平 | 上		《爲吏之道》		"{""cells"": [""36"", ""關、璽"", ""元、脂部"", ""平—上"", """"], ""cells_with_img_placeholders"": [""36"", ""關、璽"", ""元、脂部"", ""平—上"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p178_001,IMG_p178_002,IMG_p178_003
ROW_P178_T001_p178_r0005	P178_T001	38	178	4	弟、死 脂部 平—上 《除》	弟、死	脂部	平—上	弟 | 死	平 | 上		《除》		"{""cells"": [""38"", ""弟、死"", ""脂部"", ""平—上"", ""《除》""], ""cells_with_img_placeholders"": [""38"", ""弟、死"", ""脂部"", ""平—上"", ""《除》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p178_001,IMG_p178_002,IMG_p178_003
ROW_P178_T001_p178_r0006	P178_T001	57	178	5	丙、神 陽、真部 上—平 《馬禖》	丙、神	陽、真部	上—平	丙 | 神	上 | 平		《馬禖》		"{""cells"": [""57"", ""丙、神"", ""陽、真部"", ""上—平"", ""《馬禖》""], ""cells_with_img_placeholders"": [""57"", ""丙、神"", ""陽、真部"", ""上—平"", ""《馬禖》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p178_001,IMG_p178_002,IMG_p178_003
ROW_P178_T001_p178_r0007	P178_T001	59	178	6	所、馬、粱、央、 羊 魚、陽部 上—上—平— 平—平	"所、馬、粱、央、
羊"	魚、陽部	"上—上—平—
平—平"	所 | 馬 | 粱 | 央 | 羊	上 | 上 | 平 | 平 | 平		《馬禖》		"{""cells"": [""59"", ""所、馬、粱、央、\n羊"", ""魚、陽部"", ""上—上—平—\n平—平"", """"], ""cells_with_img_placeholders"": [""59"", ""所、馬、粱、央、\n羊"", ""魚、陽部"", ""上—上—平—\n平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], [], []], ""has_images"": true}"	IMG_p178_001,IMG_p178_002,IMG_p178_003
ROW_P178_T001_p178_r0009	P178_T001	1	178	8	橫、行 陽部 平—上 《日甲·禹須臾行 不得擇日》	橫、行	陽部	平—上	橫 | 行	平 | 上		"《日甲·禹須臾行
不得擇日》"		"{""cells"": [""1"", ""橫、行"", ""陽部"", ""平—上"", ""《日甲·禹須臾行\n不得擇日》""], ""cells_with_img_placeholders"": [""1"", ""橫、行"", ""陽部"", ""平—上"", ""《日甲[IMG:IMG_p178_001]禹須臾行\n不得擇日》""], ""cell_image_map"": [[], [], [], [], [""IMG_p178_001""]], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p178_001,IMG_p178_002,IMG_p178_003
ROW_P178_T001_p178_r0010	P178_T001	3	178	9	橫、行 陽部 平—上 《日乙·禹須臾行 不得擇日》	橫、行	陽部	平—上	橫 | 行	平 | 上		"《日乙·禹須臾行
不得擇日》"		"{""cells"": [""3"", ""橫、行"", ""陽部"", ""平—上"", ""《日乙·禹須臾行\n不得擇日》""], ""cells_with_img_placeholders"": [""3"", ""橫、行"", ""陽部"", ""平—上"", ""《日乙[IMG:IMG_p178_001]禹須臾行\n不得擇日》""], ""cell_image_map"": [[], [], [], [], [""IMG_p178_001""]], ""token_image_map"": [[], []], ""has_images"": true}"	IMG_p178_001,IMG_p178_002,IMG_p178_003
ROW_P178_T001_p178_r0011	P178_T001	13	178	10	父、家、語、所、 野、野 魚部 上—平—上— 上—上 《自天降令》	"父、家、語、所、
野、野"	魚部	"上—平—上—
上—上"	父 | 家 | 語 | 所 | 野 | 野	上 | 平 | 上 | 上 | 上		《自天降令》	1	"{""cells"": [""13"", ""父、家、語、所、\n野、野"", ""魚部"", ""上—平—上—\n上—上"", ""《自天降令》""], ""cells_with_img_placeholders"": [""13"", ""父、家、語、所、\n野、野"", ""魚部"", ""上—平—上—\n上—上"", ""《自天降令》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], [], [], []], ""has_images"": true}"	IMG_p178_001,IMG_p178_002,IMG_p178_003
ROW_P178_T001_p178_r0012	P178_T001	14	178	11	請、鳴、貞 耕部 上—平—平	請、鳴、貞	耕部	上—平—平	請 | 鳴 | 貞	上 | 平 | 平		《自天降令》		"{""cells"": [""14"", ""請、鳴、貞"", ""耕部"", ""上—平—平"", """"], ""cells_with_img_placeholders"": [""14"", ""請、鳴、貞"", ""耕部"", ""上—平—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": true}"	IMG_p178_001,IMG_p178_002,IMG_p178_003
ROW_P179_T001_p179_r0001	P179_T001	16	179	1	處、所、周 魚、幽部 上—上—平 《貞在黃鐘》	處、所、周	魚、幽部	上—上—平	處 | 所 | 周	上 | 上 | 平		《貞在黃鐘》		"{""cells"": [""16"", ""處、所、周"", ""魚、幽部"", ""上—上—平"", ""《貞在黃鐘》""], ""cells_with_img_placeholders"": [""16"", ""處、所、周"", ""魚、幽部"", ""上—上—平"", ""《貞在黃鐘》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0002	P179_T001	20	179	2	滔、處、栩、野、 下 幽、魚部 平—上—上— 上—上	"滔、處、栩、野、
下"	幽、魚部	"平—上—上—
上—上"	滔 | 處 | 栩 | 野 | 下	平 | 上 | 上 | 上 | 上		《貞在黃鐘》		"{""cells"": [""20"", ""滔、處、栩、野、\n下"", ""幽、魚部"", ""平—上—上—\n上—上"", """"], ""cells_with_img_placeholders"": [""20"", ""滔、處、栩、野、\n下"", ""幽、魚部"", ""平—上—上—\n上—上"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], [], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0003	P179_T001	22	179	3	州、首 幽部 平—上	州、首	幽部	平—上	州 | 首	平 | 上		《貞在黃鐘》		"{""cells"": [""22"", ""州、首"", ""幽部"", ""平—上"", """"], ""cells_with_img_placeholders"": [""22"", ""州、首"", ""幽部"", ""平—上"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0005	P179_T001	13	179	5	湯、藏、處 陽、魚部 平—平—上 《歸藏》	湯、藏、處	陽、魚部	平—平—上	湯 | 藏 | 處	平 | 平 | 上		《歸藏》		"{""cells"": [""13"", ""湯、藏、處"", ""陽、魚部"", ""平—平—上"", ""《歸藏》""], ""cells_with_img_placeholders"": [""13"", ""湯、藏、處"", ""陽、魚部"", ""平—平—上"", ""《歸藏》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0006	P179_T001	15	179	6	鳥、虛 幽、魚部 上—平	鳥、虛	幽、魚部	上—平	鳥 | 虛	上 | 平		《歸藏》		"{""cells"": [""15"", ""鳥、虛"", ""幽、魚部"", ""上—平"", """"], ""cells_with_img_placeholders"": [""15"", ""鳥、虛"", ""幽、魚部"", ""上—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0008	P179_T001	14	179	8	驁、朝、取、僂、 府、主 宵、侯部 平—平—上— 上—上—上 《爲吏治官及黔 首》	"驁、朝、取、僂、
府、主"	宵、侯部	"平—平—上—
上—上—上"	驁 | 朝 | 取 | 僂 | 府 | 主	平 | 平 | 上 | 上 | 上 | 上		"《爲吏治官及黔
首》"		"{""cells"": [""14"", ""驁、朝、取、僂、\n府、主"", ""宵、侯部"", ""平—平—上—\n上—上—上"", ""《爲吏治官及黔\n首》""], ""cells_with_img_placeholders"": [""14"", ""驁、朝、取、僂、\n府、主"", ""宵、侯部"", ""平—平—上—\n上—上—上"", ""《爲吏治官及黔\n首》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], [], [], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0009	P179_T001	17	179	9	親、使 真、之部 平—上	親、使	真、之部	平—上	親 | 使	平 | 上		"《爲吏治官及黔
首》"		"{""cells"": [""17"", ""親、使"", ""真、之部"", ""平—上"", """"], ""cells_with_img_placeholders"": [""17"", ""親、使"", ""真、之部"", ""平—上"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0010	P179_T001	17	179	10	指、齊 脂部 上—平	指、齊	脂部	上—平	指 | 齊	上 | 平		"《爲吏治官及黔
首》"		"{""cells"": ["""", ""指、齊"", ""脂部"", ""上—平"", """"], ""cells_with_img_placeholders"": ["""", ""指、齊"", ""脂部"", ""上—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0012	P179_T001	1	179	12	鳥、羅、何 魚、歌部 上—平—平 《公子從軍》	鳥、羅、何	魚、歌部	上—平—平	鳥 | 羅 | 何	上 | 平 | 平		《公子從軍》		"{""cells"": [""1"", ""鳥、羅、何"", ""魚、歌部"", ""上—平—平"", ""《公子從軍》""], ""cells_with_img_placeholders"": [""1"", ""鳥、羅、何"", ""魚、歌部"", ""上—平—平"", ""《公子從軍》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0013	P179_T001	5	179	13	毁、垂 微、歌部 上—平 《魯九次問數於 陳起》	毁、垂	微、歌部	上—平	毁 | 垂	上 | 平		"《魯九次問數於
陳起》"		"{""cells"": [""5"", ""毁、垂"", ""微、歌部"", ""上—平"", ""《魯九次問數於\n陳起》""], ""cells_with_img_placeholders"": [""5"", ""毁、垂"", ""微、歌部"", ""上—平"", ""《魯九次問數於\n陳起》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0014	P179_T001	9	179	14	母、時、期、之 之部 上—平—平—平 《醫方雜抄》	母、時、期、之	之部	上—平—平—平	母 | 時 | 期 | 之	上 | 平 | 平 | 平		《醫方雜抄》		"{""cells"": [""9"", ""母、時、期、之"", ""之部"", ""上—平—平—平"", ""《醫方雜抄》""], ""cells_with_img_placeholders"": [""9"", ""母、時、期、之"", ""之部"", ""上—平—平—平"", ""《醫方雜抄》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0015	P179_T001	15	179	15	奇、池、可、莪 歌部 平—平—上—平 《禹九策》	奇、池、可、莪	歌部	平—平—上—平	奇 | 池 | 可 | 莪	平 | 平 | 上 | 平		《禹九策》		"{""cells"": [""15"", ""奇、池、可、莪"", ""歌部"", ""平—平—上—平"", ""《禹九策》""], ""cells_with_img_placeholders"": [""15"", ""奇、池、可、莪"", ""歌部"", ""平—平—上—平"", ""《禹九策》""], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0016	P179_T001	28	179	16	鼓、吾 魚部 上—平	鼓、吾	魚部	上—平	鼓 | 吾	上 | 平		《禹九策》		"{""cells"": [""28"", ""鼓、吾"", ""魚部"", ""上—平"", """"], ""cells_with_img_placeholders"": [""28"", ""鼓、吾"", ""魚部"", ""上—平"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0017	P179_T001	28	179	17	瑣、奇、可 歌部 上—平—上	瑣、奇、可	歌部	上—平—上	瑣 | 奇 | 可	上 | 平 | 上		《禹九策》		"{""cells"": ["""", ""瑣、奇、可"", ""歌部"", ""上—平—上"", """"], ""cells_with_img_placeholders"": ["""", ""瑣、奇、可"", ""歌部"", ""上—平—上"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0018	P179_T001	33	179	18	夢、每 蒸、之部 平—上	夢、每	蒸、之部	平—上	夢 | 每	平 | 上		《禹九策》		"{""cells"": [""33"", ""夢、每"", ""蒸、之部"", ""平—上"", """"], ""cells_with_img_placeholders"": [""33"", ""夢、每"", ""蒸、之部"", ""平—上"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0019	P179_T001	35	179	19	池、可 歌部 平—上	池、可	歌部	平—上	池 | 可	平 | 上		《禹九策》		"{""cells"": [""35"", ""池、可"", ""歌部"", ""平—上"", """"], ""cells_with_img_placeholders"": [""35"", ""池、可"", ""歌部"", ""平—上"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], []], ""has_images"": false}"	
ROW_P179_T001_p179_r0020	P179_T001	36	179	20	耳、貍、來、喜 之部 上—平—平—上	耳、貍、來、喜	之部	上—平—平—上	耳 | 貍 | 來 | 喜	上 | 平 | 平 | 上		《禹九策》		"{""cells"": [""36"", ""耳、貍、來、喜"", ""之部"", ""上—平—平—上"", """"], ""cells_with_img_placeholders"": [""36"", ""耳、貍、來、喜"", ""之部"", ""上—平—平—上"", """"], ""cell_image_map"": [[], [], [], [], []], ""token_image_map"": [[], [], [], []], ""has_images"": false}"	
